company_number,company_status,company_type,incorporation_date,dissolution_date,age_days,sic_primary,sic_sector,region,has_insolvency_history,has_charges,has_been_liquidated,office_in_dispute,undeliverable_address,officer_count,resigned_count,officer_turnover_rate,filing_count,accounts_count,confirmation_count,charge_count,outstanding_charges,charge_satisfaction_rate,psc_count,corporate_psc_count,dissolved
NI605889,dissolved,ltd,2011-01-24,2021-01-26,3655,69102,Finance/Insurance,Belfast,0,0,0,0,0,6,5,0.833,36,11,9,0,0,0.0,1,0,1
NI606051,dissolved,private-limited-guarant-nsc,2011-02-04,2015-10-27,1726,58110,Retail/Trade,Derry,0,0,0,0,0,4,0,0.0,13,5,4,0,0,0.0,0,0,1
NI605960,dissolved,ltd,2011-01-28,2017-06-08,2323,99999,Other Services,Belfast,1,0,0,0,0,1,0,0.0,16,4,4,0,0,0.0,0,0,1
NI605972,dissolved,ltd,2011-01-31,2020-01-07,3263,56103,Retail/Trade,Down,0,0,0,0,0,1,1,1.0,18,5,6,0,0,0.0,1,0,1
NI606007,dissolved,ltd,2011-02-02,2014-09-19,1325,99999,Other Services,County Down,0,0,0,0,0,3,0,0.0,8,2,2,0,0,0.0,0,0,1
NI606029,dissolved,ltd,2011-02-03,2021-04-13,3722,93199,Other Services,Co. Down,0,0,0,0,0,3,1,0.333,27,10,9,0,0,0.0,1,0,1
NI606048,dissolved,ltd,2011-02-04,2021-10-15,3906,43210,Construction/Transport,Derry,1,0,0,0,0,3,2,0.667,29,8,6,0,0,0.0,1,0,1
NI605907,dissolved,ltd,2011-01-25,2022-09-15,4251,82990,Public/Education/Health,Belfast,1,1,0,0,0,2,0,0.0,48,10,10,5,5,0.0,2,0,1
NI605943,dissolved,ltd,2011-01-27,2015-05-22,1576,82990,Public/Education/Health,Belfast,0,0,0,0,0,1,0,0.0,11,2,3,0,0,0.0,0,0,1
NI605864,dissolved,ltd,2011-01-21,2017-09-16,2430,47210,Construction/Transport,Belfast,1,0,0,0,0,2,0,0.0,18,5,4,0,0,0.0,0,0,1
NI605882,dissolved,ltd,2011-01-24,2014-12-19,1425,70229,Real Estate/Business,Northern Ireland,0,0,0,0,0,1,0,0.0,12,2,3,0,0,0.0,0,0,1
